name,calories_per_hour,duration_minutes,total_calories
"Cycling, <10 mph, leisure bicycling",290,60,290
"Cycling, >20 mph, racing",1162,60,1162
"Cycling, 10-11.9 mph, light",435,60,435
"Cycling, 12-13.9 mph, moderate",581,60,581
"Cycling, 14-15.9 mph, vigorous",726,60,726
"Cycling, 16-19 mph, very fast, racing",871,60,871
Unicycling,363,60,363
"Stationary cycling, very light",217,60,217
"Stationary cycling, light",399,60,399
"Stationary cycling, moderate",508,60,508
"Stationary cycling, vigorous",762,60,762
"Stationary cycling, very vigorous",908,60,908
"Calisthenics, vigorous, pushups, situps…",581,60,581
"Calisthenics, light",254,60,254
"Circuit training, minimal rest",581,60,581
"Weight lifting, body building, vigorous",435,60,435
"Weight lifting, light workout",217,60,217
Health club exercise,399,60,399
Stair machine,653,60,653
"Rowing machine, light",254,60,254
"Rowing machine, moderate",508,60,508
"Rowing machine, vigorous",617,60,617
"Rowing machine, very vigorous",871,60,871
Ski machine,508,60,508
"Aerobics, low impact",363,60,363
"Aerobics, high impact",508,60,508
"Aerobics, step aerobics",617,60,617
"Aerobics, general",472,60,472
Jazzercise,435,60,435
"Stretching, hatha yoga",290,60,290
Mild stretching,181,60,181
Instructing aerobic class,435,60,435
Water aerobics,290,60,290
"Water aerobics, water calisthenics",290,60,290
"Ballet, twist, jazz, tap",327,60,327
"Ballroom dancing, slow",217,60,217
"Ballroom dancing, fast",399,60,399
"Running, 5 mph (12 minute mile)",581,60,581
"Running, 5.2 mph (11.5 minute mile)",653,60,653
"Running, 6 mph (10 min mile)",726,60,726
"Running, 6.7 mph (9 min mile)",799,60,799
"Running, 7 mph (8.5 min mile)",835,60,835
"Running, 7.5mph (8 min mile)",908,60,908
"Running, 8 mph (7.5 min mile)",980,60,980
"Running, 8.6 mph (7 min mile)",1016,60,1016
"Running, 9 mph (6.5 min mile)",1089,60,1089
"Running, 10 mph (6 min mile)",1162,60,1162
"Running, 10.9 mph (5.5 min mile)",1307,60,1307
"Running, cross country",653,60,653
"Running, general",581,60,581
"Running, on a track, team practice",726,60,726
"Running, stairs, up",1089,60,1089
"Track and field (shot, discus)",290,60,290
"Track and field (high jump, pole vault)",435,60,435
Track and field (hurdles),726,60,726
Archery,254,60,254
Badminton,327,60,327
"Basketball game, competitive",581,60,581
"Playing basketball, non game",435,60,435
"Basketball, officiating",508,60,508
"Basketball, shooting baskets",327,60,327
"Basketball, wheelchair",472,60,472
"Running, training, pushing wheelchair",581,60,581
Billiards,181,60,181
Bowling,217,60,217
"Cricket (batting, bowling)",363,60,363
"Shuffleboard, lawn bowling",217,60,217
"Boxing, in ring",871,60,871
"Boxing, punching bag",435,60,435
"Boxing, sparring",653,60,653
"Coaching: football, basketball, soccer…",290,60,290
"Cricket (batting, bowling)",363,60,363
Croquet,181,60,181
Curling,290,60,290
