Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Asparagus Cooked,0,1,1, ,22,0.2,2.4,0.91,23.0,14,224.0,4.1,2.0,0,1.3
Avocados,1,0,0,0,160,15.0,2.0,0.55,12.0,7,485.0,8.5,6.7,0,0.7
Bananas,1,0,0,0,89,0.3,1.1,0.26,5.0,1,358.0,23.0,2.6,0,12.0
Bagels made in wheat,0,1,1,0,250,1.5,10.0,2.76,20.0,439,165.0,49.0,4.1,0,6.1
Berries,1,0,0,0,349,0.4,14.0,6.8,190.0,298,77.0,77.0,13.0,0,46.0
Brocolli,0,1,1,0,25,0.5,3.8,1.27,118.0,56,343.0,3.1,2.8,0,0.6
Brown Rice,0,1,1,0,362,2.7,7.5,1.8,33.0,4,268.0,76.0,3.4,0,0.0
Cauliflower,0,1,1,0,32,0.3,3.0,0.72,32.0,259,278.0,6.3,3.3,0,0.0
American cheese,1,0,0,0,331,24.0,20.0,0.84,497.0,966,363.0,8.3,0.0,0,0.0
Coffee,1,0,0,0,2,0.0,0.3,0.02,2.0,1,50.0,0.2,0.0,0,0.0
Corn,1,1,1,0,97,1.4,3.3,0.55,2.0,253,3.3,22.0,2.7,0,7.7
Dark chocolates,0,0,1,0,556,32.0,5.5,2.13,30.0,6,502.0,60.0,6.5,0,48.0
Grapes,1,0,0,0,93,2.1,5.6,2.63,363.0,9,272.0,17.0,11.0,0,6.3
Milk,1,0,1,0,97,6.9,3.8,0.12,169.0,52,178.0,5.2,0.0,0,0.0
Cashew Nuts,1,0,0,0,553,44.0,18.0,6.68,37.0,12,660.0,30.0,3.3,0,5.9
Onions,0,1,1,0,40,0.1,1.1,0.21,23.0,4,146.0,9.3,1.7,0,4.2
Orange,1,0,0,0,97,0.2,1.5,0.8,161.0,3,212.0,25.0,11.0,0,0.0
Pasta canned with tomato sauce,0,1,1,0,71,0.7,2.2,0.91,13.0,381,192.0,14.0,0.9,0,4.0
Pears,1,0,0,0,57,0.1,0.4,0.18,9.0,1,116.0,15.0,3.1,0,9.8
Peas,0,1,1,0,81,0.4,5.4,1.47,25.0,5,244.0,14.0,5.7,0,5.7
